date,type,aum,rate,fee,hwm,nav_pre_fee,hwm_pre,profit_above_hwm,hwm_post
2008-02-26,management,999850.0,0.0016666666666666668,1666.4166666666667,1000000.0,,,,
2008-02-26,performance,,0.25,0.0,,998183.5833333334,1000000.0,0.0,1000000.0
2008-03-03,management,995731.864922721,0.0016666666666666668,1659.5531082045352,1000000.0,,,,
2008-04-01,management,998233.9243625909,0.0016666666666666668,1663.7232072709849,1000000.0,,,,
2008-04-01,performance,,0.25,0.0,,996570.2011553199,1000000.0,0.0,1000000.0
2008-05-01,management,1003413.2620219531,0.0016666666666666668,1672.3554367032552,1000000.0,,,,
2008-06-02,management,1001696.2523468996,0.0016666666666666668,1669.4937539114994,1000000.0,,,,
2008-07-01,management,978909.5588409062,0.0016666666666666668,1631.5159314015104,1000000.0,,,,
2008-07-01,performance,,0.25,0.0,,977278.0429095048,1000000.0,0.0,1000000.0
2008-08-01,management,989610.708103933,0.0016666666666666668,1649.3511801732218,1000000.0,,,,
2008-09-02,management,994784.9998394462,0.0016666666666666668,1657.9749997324104,1000000.0,,,,
2008-10-01,management,992222.1460055363,0.0016666666666666668,1653.703576675894,1000000.0,,,,
2008-10-01,performance,,0.25,0.0,,990568.4424288605,1000000.0,0.0,1000000.0
2008-11-03,management,969724.7938948439,0.0016666666666666668,1616.20798982474,1000000.0,,,,
2008-12-01,management,927239.2480802354,0.0016666666666666668,1545.3987468003925,1000000.0,,,,
2009-01-02,management,1072973.2095936274,0.0016666666666666668,1788.2886826560457,1000000.0,,,,
2009-01-02,performance,,0.25,17796.23022774281,,1071184.9209109712,1000000.0,71184.92091097124,1053388.6906832284
2009-02-02,management,956236.0843998038,0.0016666666666666668,1593.7268073330065,1053388.6906832284,,,,
2009-03-02,management,800609.9263575958,0.0016666666666666668,1334.34987726266,1053388.6906832284,,,,
2009-04-01,management,1036866.8505278712,0.0016666666666666668,1728.111417546452,1053388.6906832284,,,,
2009-04-01,performance,,0.25,0.0,,1035138.7391103248,1053388.6906832284,0.0,1053388.6906832284
2009-05-01,management,1212163.3516177735,0.0016666666666666668,2020.2722526962893,1053388.6906832284,,,,
2009-06-01,management,1323502.8667408903,0.0016666666666666668,2205.8381112348175,1053388.6906832284,,,,
2009-07-01,management,1225877.9200798376,0.0016666666666666668,2043.1298667997294,1053388.6906832284,,,,
2009-07-01,performance,,0.25,42611.52488245239,,1223834.790213038,1053388.6906832284,170446.09952980955,1181223.2653305857
2009-08-03,management,1268028.5723889982,0.0016666666666666668,2113.380953981664,1181223.2653305857,,,,
2009-09-01,management,1212458.0013512466,0.0016666666666666668,2020.7633355854111,1181223.2653305857,,,,
2009-10-01,management,1303284.2212370303,0.0016666666666666668,2172.140368728384,1181223.2653305857,,,,
2009-10-01,performance,,0.25,29972.203884429066,,1301112.080868302,1181223.2653305857,119888.81553771626,1271139.876983873
2009-11-02,management,1314657.5154519314,0.0016666666666666668,2191.0958590865525,1271139.876983873,,,,
2009-12-01,management,1457478.9660866288,0.0016666666666666668,2429.1316101443817,1271139.876983873,,,,
2010-01-04,management,1512257.6579398697,0.0016666666666666668,2520.429429899783,1271139.876983873,,,,
2010-01-04,performance,,0.25,59649.33788152423,,1509737.22850997,1271139.876983873,238597.35152609693,1450087.890628446
2010-02-01,management,1373543.761562918,0.0016666666666666668,2289.2396026048636,1450087.890628446,,,,
2010-03-01,management,1455179.1443440742,0.0016666666666666668,2425.2985739067904,1450087.890628446,,,,
2010-04-01,management,1514718.2865751407,0.0016666666666666668,2524.5304776252347,1450087.890628446,,,,
2010-04-01,performance,,0.25,15526.466367267363,,1512193.7560975153,1450087.890628446,62105.86546906945,1496667.289730248
2010-05-03,management,1551286.2942429418,0.0016666666666666668,2585.4771570715698,1496667.289730248,,,,
2010-06-01,management,1343038.841869122,0.0016666666666666668,2238.39806978187,1496667.289730248,,,,
2010-07-01,management,1317188.8218377992,0.0016666666666666668,2195.314703062999,1496667.289730248,,,,
2010-07-01,performance,,0.25,0.0,,1314993.507134736,1496667.289730248,0.0,1496667.289730248
2010-08-02,management,1475106.276949674,0.0016666666666666668,2458.51046158279,1496667.289730248,,,,
2010-09-01,management,1502159.5904878562,0.0016666666666666668,2503.5993174797604,1496667.289730248,,,,
2010-10-01,management,1636149.5975953422,0.0016666666666666668,2726.915995992237,1496667.289730248,,,,
2010-10-01,performance,,0.25,34188.84796727548,,1633422.68159935,1496667.289730248,136755.3918691019,1599233.8336320743
2010-11-01,management,1700880.990210787,0.0016666666666666668,2834.8016503513118,1599233.8336320743,,,,
2010-12-01,management,1765212.224438861,0.0016666666666666668,2942.0203740647685,1599233.8336320743,,,,
2011-01-03,management,1832562.626601952,0.0016666666666666668,3054.271044336587,1599233.8336320743,,,,
2011-01-03,performance,,0.25,57568.63048138528,,1829508.3555576154,1599233.8336320743,230274.5219255411,1771939.72507623
2011-02-01,management,1837352.3163937475,0.0016666666666666668,3062.253860656246,1771939.72507623,,,,
2011-03-01,management,1830373.8651431438,0.0016666666666666668,3050.6231085719064,1771939.72507623,,,,
2011-04-01,management,1924107.5208404202,0.0016666666666666668,3206.845868067367,1771939.72507623,,,,
2011-04-01,performance,,0.25,37240.2374740307,,1920900.6749723528,1771939.72507623,148960.9498961228,1883660.4374983222
2011-05-02,management,1948238.0630774228,0.0016666666666666668,3247.0634384623713,1883660.4374983222,,,,
2011-06-01,management,1974208.7656943318,0.0016666666666666668,3290.3479428238866,1883660.4374983222,,,,
2011-07-01,management,2047793.6107733217,0.0016666666666666668,3412.98935128887,1883660.4374983222,,,,
2011-07-01,performance,,0.25,40180.04598092765,,2044380.6214220328,1883660.4374983222,160720.1839237106,2004200.5754411053
2011-08-01,management,1930803.5794749872,0.0016666666666666668,3218.0059657916454,2004200.5754411053,,,,
2011-09-01,management,1818381.7514885757,0.0016666666666666668,3030.6362524809597,2004200.5754411053,,,,
2011-10-03,management,1656970.032672347,0.0016666666666666668,2761.6167211205784,2004200.5754411053,,,,
2011-10-03,performance,,0.25,0.0,,1654208.4159512264,2004200.5754411053,0.0,2004200.5754411053
2011-11-01,management,1858314.0768531899,0.0016666666666666668,3097.19012808865,2004200.5754411053,,,,
2011-12-01,management,1896313.2562980459,0.0016666666666666668,3160.5220938300768,2004200.5754411053,,,,
2012-01-03,management,1846054.9091373882,0.0016666666666666668,3076.7581818956473,2004200.5754411053,,,,
2012-01-03,performance,,0.25,0.0,,1842978.1509554926,2004200.5754411053,0.0,2004200.5754411053
2012-02-01,management,2004229.2506102477,0.0016666666666666668,3340.382084350413,2004200.5754411053,,,,
2012-03-01,management,2164164.8766411725,0.0016666666666666668,3606.941461068621,2004200.5754411053,,,,
2012-04-02,management,2262495.641079637,0.0016666666666666668,3770.826068466062,2004200.5754411053,,,,
2012-04-02,performance,,0.25,63631.05989251658,,2258724.8150111716,2004200.5754411053,254524.23957006633,2195093.7551186546
2012-05-01,management,2170829.0946495323,0.0016666666666666668,3618.048491082554,2195093.7551186546,,,,
2012-06-01,management,1889654.7509053675,0.0016666666666666668,3149.4245848422793,2195093.7551186546,,,,
2012-07-02,management,1976029.088005478,0.0016666666666666668,3293.3818133424634,2195093.7551186546,,,,
2012-07-02,performance,,0.25,0.0,,1972735.7061921356,2195093.7551186546,0.0,2195093.7551186546
2012-08-01,management,1993214.96939183,0.0016666666666666668,3322.0249489863836,2195093.7551186546,,,,
2012-09-04,management,2032114.9608299013,0.0016666666666666668,3386.8582680498357,2195093.7551186546,,,,
2012-10-01,management,2133928.944920084,0.0016666666666666668,3556.5482415334736,2195093.7551186546,,,,
2012-10-01,performance,,0.25,0.0,,2130372.39667855,2195093.7551186546,0.0,2195093.7551186546
2012-11-01,management,2174145.0719009084,0.0016666666666666668,3623.5751198348476,2195093.7551186546,,,,
2012-12-03,management,2194568.3439359344,0.0016666666666666668,3657.613906559891,2195093.7551186546,,,,
2013-01-02,management,2228736.145821038,0.0016666666666666668,3714.5602430350636,2195093.7551186546,,,,
2013-01-02,performance,,0.25,7481.957614837098,,2225021.585578003,2195093.7551186546,29927.83045934839,2217539.6279631658
2013-02-01,management,2327845.6953977095,0.0016666666666666668,3879.7428256628496,2217539.6279631658,,,,
2013-03-01,management,2300640.4561789003,0.0016666666666666668,3834.4007602981674,2217539.6279631658,,,,
2013-04-01,management,2398538.024129666,0.0016666666666666668,3997.5633735494434,2217539.6279631658,,,,
2013-04-01,performance,,0.25,44250.2081982377,,2394540.4607561165,2217539.6279631658,177000.8327929508,2350290.252557879
2013-05-01,management,2517987.206854875,0.0016666666666666668,4196.645344758125,2350290.252557879,,,,
2013-06-03,management,2678588.686058476,0.0016666666666666668,4464.314476764127,2350290.252557879,,,,
2013-07-01,management,2624718.518085502,0.0016666666666666668,4374.530863475837,2350290.252557879,,,,
2013-07-01,performance,,0.25,67513.43366603681,,2620343.987222026,2350290.252557879,270053.73466414725,2552830.553555989
2013-08-01,management,2738309.086270826,0.0016666666666666668,4563.848477118044,2552830.553555989,,,,
2013-09-03,management,2645287.0657577394,0.0016666666666666668,4408.811776262899,2552830.553555989,,,,
2013-10-01,management,2863297.750647658,0.0016666666666666668,4772.162917746097,2552830.553555989,,,,
2013-10-01,performance,,0.25,76423.75854348077,,2858525.5877299123,2552830.553555989,305695.0341739231,2782101.8291864316
2013-11-01,management,2778190.1352034723,0.0016666666666666668,4630.316892005788,2782101.8291864316,,,,
2013-12-02,management,2962342.580982082,0.0016666666666666668,4937.237634970137,2782101.8291864316,,,,
2014-01-02,management,3013139.7858496956,0.0016666666666666668,5021.8996430828265,2782101.8291864316,,,,
2014-01-02,performance,,0.25,56504.014255045215,,3008117.8862066125,2782101.8291864316,226016.05702018086,2951613.8719515675
2014-02-03,management,2808434.571317528,0.0016666666666666668,4680.724285529213,2951613.8719515675,,,,
2014-03-03,management,3163311.2578240596,0.0016666666666666668,5272.185429706767,2951613.8719515675,,,,
2014-04-01,management,3112530.298200234,0.0016666666666666668,5187.55049700039,2951613.8719515675,,,,
2014-04-01,performance,,0.25,38932.218937916565,,3107342.7477032337,2951613.8719515675,155728.87575166626,3068410.528765317
2014-05-01,management,2885116.8044126653,0.0016666666666666668,4808.528007354443,3068410.528765317,,,,
2014-06-02,management,2948125.2560673067,0.0016666666666666668,4913.5420934455115,3068410.528765317,,,,
2014-07-01,management,2928171.044452592,0.0016666666666666668,4880.285074087653,3068410.528765317,,,,
2014-07-01,performance,,0.25,0.0,,2923290.759378504,3068410.528765317,0.0,3068410.528765317
2014-08-01,management,2863751.5226276657,0.0016666666666666668,4772.919204379443,3068410.528765317,,,,
2014-09-02,management,3003052.094117751,0.0016666666666666668,5005.086823529585,3068410.528765317,,,,
2014-10-01,management,2914493.950613776,0.0016666666666666668,4857.489917689627,3068410.528765317,,,,
2014-10-01,performance,,0.25,0.0,,2909636.4606960868,3068410.528765317,0.0,3068410.528765317
2014-11-03,management,3189669.0015676953,0.0016666666666666668,5316.115002612826,3068410.528765317,,,,
2014-12-01,management,3265118.772374218,0.0016666666666666668,5441.864620623697,3068410.528765317,,,,
2015-01-02,management,3299450.2912156237,0.0016666666666666668,5499.083818692707,3068410.528765317,,,,
2015-01-02,performance,,0.25,56385.16965790349,,3293951.207396931,3068410.528765317,225540.67863161396,3237566.0377390278
2015-02-02,management,3179316.921206193,0.0016666666666666668,5298.861535343655,3237566.0377390278,,,,
2015-03-02,management,3519719.2909366307,0.0016666666666666668,5866.198818227718,3237566.0377390278,,,,
2015-04-01,management,3507370.039295621,0.0016666666666666668,5845.616732159369,3237566.0377390278,,,,
2015-04-01,performance,,0.25,65989.59620610846,,3501524.4225634616,3237566.0377390278,263958.38482443383,3435534.8263573535
2015-05-01,management,3525439.370696951,0.0016666666666666668,5875.732284494919,3435534.8263573535,,,,
2015-06-01,management,3546400.6431085826,0.0016666666666666668,5910.667738514305,3435534.8263573535,,,,
2015-07-01,management,3594579.739940282,0.0016666666666666668,5990.966233233804,3435534.8263573535,,,,
2015-07-01,performance,,0.25,38263.486837423756,,3588588.7737070485,3435534.8263573535,153053.94734969502,3550325.286869624
2015-08-03,management,3613411.7420591973,0.0016666666666666668,6022.352903431995,3550325.286869624,,,,
2015-09-01,management,3357460.198057327,0.0016666666666666668,5595.766996762212,3550325.286869624,,,,
2015-10-01,management,3460573.627746444,0.0016666666666666668,5767.622712910741,3550325.286869624,,,,
2015-10-01,performance,,0.25,0.0,,3454806.005033533,3550325.286869624,0.0,3550325.286869624
